WaterE_0.22umF,,WaterE_R,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0025635,-0.0001540459634,800.0025635,0.09276729822,
795.0099487,0.002078613732,795.0099487,0.09426174313,
790.0073853,0.0009918136057,790.0073853,0.09503973275,
784.994873,0.002400842961,784.994873,0.09427113831,
780.0074463,0.001789139002,780.0074463,0.09452776611,
775.010437,0.004329425283,775.010437,0.09481648356,
770.0039063,0.002835492138,770.0039063,0.09586262703,
764.987854,0.002695909003,764.987854,0.09611002356,
759.9976196,0.002365522552,759.9976196,0.09608609229,
754.9981079,0.002061317209,754.9981079,0.09447215497,
749.9893188,0.001542640966,749.9893188,0.09411485493,
745.006958,-0.0005312691792,745.006958,0.09316917509,
740.015564,-0.001414794475,740.015564,0.0930563584,
735.0153809,-0.003054391593,735.0153809,0.0904462114,
730.0063477,-0.007399681024,730.0063477,0.08794277906,
724.9885864,-0.009597403929,724.9885864,0.08554941416,
719.9978027,-0.01180335879,719.9978027,0.08314631134,
714.9985352,-0.01288842876,714.9985352,0.08210611343,
709.9908447,-0.01152963843,709.9908447,0.08325507492,
705.010498,-0.008936449885,705.010498,0.08718903363,
699.9862061,-0.005025051534,699.9862061,0.09046664834,
694.989502,-0.0005011219764,694.989502,0.09620366991,
689.9848022,0.002854122315,689.9848022,0.09993855655,
685.0080566,0.005337266717,685.0080566,0.1034302637,
679.9874268,0.007772491779,679.9874268,0.1041629761,
674.9949951,0.008348775096,674.9949951,0.1053867564,
669.994812,0.008043251932,669.994812,0.1064125001,
664.9869995,0.007982025854,664.9869995,0.1051838547,
660.0078735,0.006657409482,660.0078735,0.1048777774,
654.9849243,0.006789542269,654.9849243,0.105707489,
649.9908447,0.005563903134,649.9908447,0.104998447,
644.989502,0.006474577356,644.989502,0.105254434,
640.017395,0.006643898785,640.017395,0.1054896489,
635.0015869,0.00604488235,635.0015869,0.1057317629,
630.0151978,0.006151333917,630.0151978,0.1058084443,
624.9850464,0.006021022797,624.9850464,0.1059365422,
619.9846802,0.006419509184,619.9846802,0.106271401,
615.0142212,0.006260805763,615.0142212,0.1060492098,
610.0001221,0.005659091286,610.0001221,0.1065233424,
605.0161743,0.005774577614,605.0161743,0.1065723076,
599.9885864,0.005505647045,599.9885864,0.1063750312,
594.991394,0.005178434774,594.991394,0.1064376086,
589.9876099,0.005293426104,589.9876099,0.1062438935,
585.0144653,0.004858195782,585.0144653,0.106760174,
579.9978638,0.004057807848,579.9978638,0.1065159366,
575.012085,0.003454230493,575.012085,0.1069531888,
569.9828491,0.003128950484,569.9828491,0.1058302745,
564.9846802,0.002317530569,564.9846802,0.1055203751,
560.0177002,0.001265231753,560.0177002,0.1052176878,
555.0073853,0.0006244558608,555.0073853,0.1046335399,
549.9910278,-0.001163154258,549.9910278,0.1037582979,
545.0062866,-0.001279572141,545.0062866,0.1034669578,
540.015686,-0.002007469535,540.015686,0.1027979925,
534.9817505,-0.002389934845,534.9817505,0.1032560766,
530.017334,-0.001668558223,530.017334,0.104785338,
525.0096436,0.0008436660282,525.0096436,0.1071870402,
519.9963989,0.003882491961,519.9963989,0.1112771705,
515.0152588,0.007302127313,515.0152588,0.1143121198,
509.9909973,0.0100382762,509.9909973,0.1176993921,
504.9991455,0.01178810094,504.9991455,0.1207553446,
500.0019836,0.01346785761,500.0019836,0.1224484444,
494.9995422,0.01487258542,494.9995422,0.1238149107,
489.9919128,0.01495121513,489.9919128,0.1247294247,
485.0171204,0.0143115297,485.0171204,0.1251399368,
479.9992981,0.0143243717,479.9992981,0.1250037998,
475.0145569,0.01462690346,475.0145569,0.1263860613,
469.9867249,0.0157353133,469.9867249,0.1273085028,
464.9920959,0.01891968027,464.9920959,0.1306154728,
459.9926758,0.02093319967,459.9926758,0.1330210418,
454.9885254,0.0239728149,454.9885254,0.1363882273,
450.0178833,0.02527429163,450.0178833,0.1386046261,
445.004425,0.02596752159,445.004425,0.1399792582,
439.9863586,0.02708123997,439.9863586,0.1415118873,
435.0020447,0.02703991532,435.0020447,0.1429748833,
430.0133362,0.02761113271,430.0133362,0.1431263089,
424.9818726,0.0277148094,424.9818726,0.1439220011,
419.984375,0.02854628116,419.984375,0.14525038,
414.9826355,0.02869478613,414.9826355,0.146722734,
410.0152588,0.02935777418,410.0152588,0.1470627338,
405.005127,0.02958172746,405.005127,0.1487145424,
399.9909363,0.02956973016,399.9909363,0.1490380317,
395.0112305,0.02995265462,395.0112305,0.1501053274,
389.9889832,0.03018588014,389.9889832,0.152010873,
385.0013733,0.03184893355,385.0013733,0.1536770761,
380.0099182,0.03419756889,380.0099182,0.1570018381,
375.0147095,0.03746155277,375.0147095,0.1601348519,
370.015686,0.04111923277,370.015686,0.1656817347,
365.0129395,0.04500128329,365.0129395,0.1697263718,
360.0065613,0.04834146053,360.0065613,0.1747020781,
354.9965515,0.05114401504,354.9965515,0.1781229079,
349.9830322,0.05289705843,349.9830322,0.1803626716,
345.0048523,0.05588123947,345.0048523,0.1839412302,
339.9843445,0.0577233471,339.9843445,0.1881303936,
334.9994202,0.06128615886,334.9994202,0.1915310919,
330.0111389,0.06366931647,330.0111389,0.1948711425,
324.9806519,0.06680984795,324.9806519,0.1990235001,
319.9859009,0.07033269107,319.9859009,0.203784883,
314.9879761,0.07432220876,314.9879761,0.2086419314,
309.986969,0.07871571183,309.986969,0.2155578882,
304.9828491,0.08380135149,304.9828491,0.2225441933,
300.0148926,0.08873219043,300.0148926,0.2290013582,
295.0048828,0.0941131562,295.0048828,0.2354852706,
289.9919434,0.1001444012,289.9919434,0.2438299209,
285.0153198,0.106790863,285.0153198,0.2529841959,
279.9967346,0.1144576818,279.9967346,0.2623347342,
275.0146179,0.121994324,275.0146179,0.2716739178,
269.9905701,0.130195871,269.9905701,0.2813472748,
265.0031128,0.1379990429,265.0031128,0.2912349403,
260.0131226,0.145793438,260.0131226,0.2984907329,
254.9812469,0.154248029,254.9812469,0.309224546,
249.9861755,0.1648478806,249.9861755,0.3221232295,
244.988739,0.1784730107,244.988739,0.3361738026,
239.9888458,0.2002512217,239.9888458,0.3589124978,
234.9866943,0.2475828528,234.9866943,0.408159554,
229.982193,0.3527190983,229.982193,0.5167335272,
225.0149536,0.5479626656,225.0149536,0.720228374,
220.006073,0.9305647612,220.006073,1.082226396,
214.9950409,1.473653793,214.9950409,1.614281654,
209.9819336,2.279811621,209.9819336,2.405200481,
205.0063019,3.107672691,205.0063019,3.224403143,
199.9891663,3.113816977,199.9891663,3.479301214,

WaterE_0.22umF,
WaterE_0.22umF
Collection Time: 5/31/2023 12:27:18 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 5/31/2023 12:24:53 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 383.8

WaterE_R,
WaterE_R
Collection Time: 5/31/2023 12:28:08 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.000
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 5/31/2023 12:24:53 PM
Method Modifications: None
<SBW (nm)> , 1.00
<Energy> , 100.00
<Current Wavelength> , 285.0

