0.22umF_waterF,,R_waterF,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0025635,0.07784653455,800.0025635,0.1571367532,
795.0099487,0.0796077773,795.0099487,0.1572902948,
790.0073853,0.07964328676,790.0073853,0.1623718143,
784.994873,0.08082764596,784.994873,0.1614600718,
780.0074463,0.08059182763,780.0074463,0.1623721868,
775.010437,0.08230752498,775.010437,0.1639379263,
770.0039063,0.08225531131,770.0039063,0.164739117,
764.987854,0.08212791383,764.987854,0.1667169482,
759.9976196,0.08253031969,759.9976196,0.1675614417,
754.9981079,0.08215330541,754.9981079,0.1675132066,
749.9893188,0.08179511875,749.9893188,0.1695541739,
745.006958,0.08176077902,745.006958,0.168402344,
740.015564,0.08079509437,740.015564,0.1690583378,
735.0153809,0.07868955284,735.0153809,0.1676733196,
730.0063477,0.07615570724,730.0063477,0.1658337712,
724.9885864,0.07429739088,724.9885864,0.1650116295,
719.9978027,0.07321217656,719.9978027,0.1646536738,
714.9985352,0.07161349058,714.9985352,0.1657567322,
709.9908447,0.07375584543,709.9908447,0.1670280099,
705.010498,0.07675214857,705.010498,0.1716416776,
699.9862061,0.08070144057,699.9862061,0.1767848581,
694.989502,0.08598668873,694.989502,0.1821045727,
689.9848022,0.08975463361,689.9848022,0.1867197454,
685.0080566,0.09358213842,685.0080566,0.1914662719,
679.9874268,0.09557614475,679.9874268,0.1954252571,
674.9949951,0.09810596704,674.9949951,0.1977382302,
669.994812,0.09729811549,669.994812,0.1985243112,
664.9869995,0.09671784937,664.9869995,0.1983472705,
660.0078735,0.09672386199,660.0078735,0.1986486614,
654.9849243,0.09711685032,654.9849243,0.2004439086,
649.9908447,0.09663870931,649.9908447,0.2011708617,
644.989502,0.09735362977,644.989502,0.2026020288,
640.017395,0.09818751365,640.017395,0.203249231,
635.0015869,0.09792070091,635.0015869,0.2043375671,
630.0151978,0.09893833846,630.0151978,0.206565395,
624.9850464,0.09949117899,624.9850464,0.2082522959,
619.9846802,0.09966383129,619.9846802,0.2094842494,
615.0142212,0.09992721677,615.0142212,0.2108507454,
610.0001221,0.1002841145,610.0001221,0.2107197344,
605.0161743,0.1004296467,605.0161743,0.2116099894,
599.9885864,0.100556165,599.9885864,0.2135113776,
594.991394,0.1007021442,594.991394,0.213814348,
589.9876099,0.1005589738,589.9876099,0.2146804184,
585.0144653,0.1015476584,585.0144653,0.216058284,
579.9978638,0.1018211916,579.9978638,0.2165171206,
575.012085,0.1012295857,575.012085,0.2179393023,
569.9828491,0.1013369933,569.9828491,0.2189640254,
564.9846802,0.1009961814,564.9846802,0.2198760957,
560.0177002,0.1008953601,560.0177002,0.2207335383,
555.0073853,0.1005351841,555.0073853,0.2218213826,
