0.22umF_waterG,,R_waterG,,0.22umF_waterG_nocondensation,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0025635,0.2339825481,800.0025635,0.1841265708,800.0025635,0.1893823892,
795.0099487,0.234469682,795.0099487,0.1851763427,795.0099487,0.1890676618,
790.0073853,0.2336842418,790.0073853,0.1899826527,790.0073853,0.1908667237,
784.994873,0.2362654656,784.994873,0.1873271018,784.994873,0.1937609911,
780.0074463,0.2366853505,780.0074463,0.1893452406,780.0074463,0.1939202398,
775.010437,0.2382261157,775.010437,0.1997662783,775.010437,0.1964742392,
770.0039063,0.2407384664,770.0039063,0.1932217181,770.0039063,0.1970327646,
764.987854,0.240267247,764.987854,0.1923329234,764.987854,0.1980385184,
759.9976196,0.2406472713,759.9976196,0.1958594173,759.9976196,0.1988210529,
754.9981079,0.2407639325,754.9981079,0.1946563572,754.9981079,0.1979153156,
749.9893188,0.2404484153,749.9893188,0.1986927539,749.9893188,0.1982209533,
745.006958,0.2412457913,745.006958,0.1979942471,745.006958,0.1997483224,
740.015564,0.2394223809,740.015564,0.1983583421,740.015564,0.1981791109,
735.0153809,0.2380521744,735.0153809,0.1938018799,735.0153809,0.1979434043,
730.0063477,0.2361938506,730.0063477,0.194393903,730.0063477,0.1941277832,
724.9885864,0.2340871692,724.9885864,0.19810386,724.9885864,0.1935334057,
719.9978027,0.235202089,719.9978027,0.1902794391,719.9978027,0.193833828,
714.9985352,0.2325343788,714.9985352,0.1936436892,714.9985352,0.193329215,
709.9908447,0.236448139,709.9908447,0.1942461133,709.9908447,0.1957037151,
705.010498,0.2397970408,705.010498,0.2002618164,705.010498,0.199110955,
699.9862061,0.2434070259,699.9862061,0.2041368037,699.9862061,0.2039402723,
694.989502,0.2482549995,694.989502,0.2085921764,694.989502,0.2095140219,
689.9848022,0.2549004555,689.9848022,0.2125551254,689.9848022,0.2140946388,
685.0080566,0.2562787533,685.0080566,0.2162045538,685.0080566,0.2174432278,
679.9874268,0.258477509,679.9874268,0.2293199897,679.9874268,0.2202489972,
674.9949951,0.2610400915,674.9949951,0.2217345536,674.9949951,0.221281603,
669.994812,0.2607118487,669.994812,0.2231605798,669.994812,0.223176077,
664.9869995,0.2625344098,664.9869995,0.2233108133,664.9869995,0.2241813987,
660.0078735,0.2612355649,660.0078735,0.227297768,660.0078735,0.2246628702,
654.9849243,0.2655997276,654.9849243,0.2275320888,654.9849243,0.2243157178,
649.9908447,0.2627599537,649.9908447,0.2248872668,649.9908447,0.2251307219,
644.989502,0.2635469139,644.989502,0.2256962508,644.989502,0.225884065,
