date_imaged,water,DAPI_filtered_mL,area,cells
September 11,D,2,14400,31
September 11,D,1,14400,26
September 11,G,1,3600,48
September 11,F,1,8100,76
September 11,E,1,4900,77
September 11,C,1,8100,82
September 11,B,1,10000,55
September 11,E,0.5,8100,47
September 11,D,2,14400,7
September 11,D,1,14400,23
September 11,G,1,6400,52
September 11,F,1,4900,55
September 11,E,1,4900,78
September 11,C,1,12100,82
September 11,B,1,10000,40
September 11,E,0.5,2500,90
September 11,D,2,4900,90
September 11,D,1,14400,73
September 11,G,1,3600,42
September 11,F,1,6400,61
September 11,E,1,1600,59
September 11,C,1,14400,35
September 11,B,1,8100,40
September 11,E,0.5,14400,41
September 11,D,2,14400,71
September 11,D,1,14400,23
September 11,G,1,14400,66
September 11,F,1,3600,55
September 11,E,1,900,50
September 11,C,1,14400,60
September 11,B,1,14400,71
September 11,E,0.5,14400,64
September 11,D,2,14400,22
September 11,D,1,14400,25
September 11,G,1,3600,57
September 11,F,1,4900,56
September 11,C,1,8100,59
September 11,B,1,14400,61
September 11,E,0.5,14400,15
September 11,G,1,4900,60
