wavelength_nm,G_F,G_R,F_F,F_R,E_F,E_R,D_F,D_R,B_F,B_R,C_F,C_R
800.002564,0.18938239,0.18412657,0.07784653,0.15713675,-0.000154,0.0927673,-0.0001728,0.06748865,0.0001737,0.00885702,-0.0113475,6.02E-05
795.009949,0.18906766,0.18517634,0.07960778,0.15729029,0.00207861,0.09426174,0.00134899,0.06896104,0.00021708,0.00925743,-0.0109495,0.0016337
790.007385,0.19086672,0.18998265,0.07964329,0.16237181,0.00099181,0.09503973,0.00161164,0.06987827,0.00077714,0.01036252,-0.0099239,0.00180746
784.994873,0.19376099,0.1873271,0.08082765,0.16146007,0.00240084,0.09427114,0.00241878,0.07104363,0.00200662,0.01061755,-0.0089317,0.00145087
780.007446,0.19392024,0.18934524,0.08059183,0.16237219,0.00178914,0.09452777,0.00163274,0.0721267,0.0028319,0.01010242,-0.0093173,0.00352881
775.010437,0.19647424,0.19976628,0.08230752,0.16393793,0.00432943,0.09481648,0.00328328,0.07178894,0.0017959,0.01080702,-0.0081909,0.00268343
770.003906,0.19703276,0.19322172,0.08225531,0.16473912,0.00283549,0.09586263,0.00249716,0.07285128,0.00196304,0.01068464,-0.0089206,0.0036814
764.987854,0.19803852,0.19233292,0.08212791,0.16671695,0.00269591,0.09611002,0.00153648,0.07225701,0.00237518,0.01133617,-0.0083599,0.00312932
759.99762,0.19882105,0.19585942,0.08253032,0.16756144,0.00236552,0.09608609,0.00174753,0.07225836,0.00142918,0.01016871,-0.0089496,0.00264491
754.998108,0.19791532,0.19465636,0.08215331,0.16751321,0.00206132,0.09447215,0.00187674,0.07120896,0.00090472,0.01018408,-0.0101269,0.00273105
749.989319,0.19822095,0.19869275,0.08179512,0.16955417,0.00154264,0.09411485,0.00140033,0.07122839,0.0006741,0.00902675,-0.0096813,0.00169552
745.006958,0.19974832,0.19799425,0.08176078,0.16840234,-0.0005313,0.09316918,0.00036644,0.0706855,8.71E-05,0.0078664,-0.0112295,0.00115286
740.015564,0.19817911,0.19835834,0.08079509,0.16905834,-0.0014148,0.09305636,-0.0015442,0.070963,-0.0017191,0.00698634,-0.0133132,0.00042349
