water,solids,start,end,weight_g,weight_mg,volume_L,value_mg.L
B,Solids,107.478,110.1551,2.6771,2677.1,0.1,26771
B,Solids,102.2265,102.3137,0.0872,87.2,0.003,29066.66667
C,Solids,102.2969,105.6255,3.3286,3328.6,0.1,33286
C,Solids,107.409,107.516,0.107,107,0.003,35666.66667
D,Solids,116.5647,116.5894,0.0247,24.7,0.1,247
D,Solids,116.5685,116.573,0.0045,4.5,0.015,300
E,Solids,107.4078,108.1917,0.7839,783.9,0.05,15678
E,Solids,112.0339,112.0825,0.0486,48.6,0.003,16200
F,Solids,97.073,97.072,-0.001,-1,0.015,-66.66666667
F,Solids,112.0379,112.0562,0.0183,18.3,0.1,183
G,Solids,116.569,116.9183,0.3493,349.3,0.01,34930
G,Solids,97.7605,97.8709,0.1104,110.4,0.003,36800
